"logFC","logCPM","LR","PValue","FDR","transcript"
0.0668322378036021,7.15476987122502,0.0398704415175943,0.841734109277408,0.914876246978152,"CDC42BPA"
0.0678271243284757,2.80151671838281,0.0397522352357828,0.841965796687175,0.915077931007515,"AC093014.1"
-0.0745190692687058,0.0386136110296412,0.0397159642143634,0.842036960633657,0.915105139972088,"PES1P2"
-0.0668045614465923,4.78340714664515,0.0395571089911302,0.842349034193265,0.915391912397563,"ZNF646"
-0.0719858531611361,0.541248524302764,0.0395105801072564,0.84244056420744,0.915391912397563,"SRP72P1"
-0.0761732463017582,-0.259876258353529,0.0394818645464703,0.842497080426534,0.915391912397563,"TNFSF13B"
-0.0671894042112204,3.44124337186785,0.0394795796475647,0.842501578342963,0.915391912397563,"NRM"
0.0665181172217727,6.5818542726239,0.0394643550717355,0.84253155199451,0.915391912397563,"NCOA3"
-0.0677860833979452,2.51464712220787,0.0394015186357595,0.842655325967195,0.915430826333219,"AC023906.1"
0.0675719240683606,2.74032085497757,0.0393935442846568,0.842671041020155,0.915430826333219,"SMIM3"
-0.068687003945589,1.81791840201117,0.0393754286711783,0.84270674760289,0.915430826333219,"ZNF490"
-0.0663368864993812,9.09756909221343,0.0393308030141459,0.842794742953206,0.915430826333219,"RPS4X"
-0.0677519219239462,2.47066457124874,0.0393291034982495,0.842798095178441,0.915430826333219,"PSMC3IP"
-0.0684846851701038,1.88548055641469,0.0392889765702762,0.842877265776226,0.915466695782577,"AC092919.2"
-0.0690577869487148,1.50011272926537,0.0392283666770294,0.84299692905701,0.915546538849938,"ANKAR"
-0.0767467713235652,-0.389374355597576,0.0391035235224448,0.843243712409158,0.915698314281167,"LAT2"
-0.0816552542926347,-0.931160253416196,0.0390900220721839,0.843270425877404,0.915698314281167,"PCDHB19P"
0.0663576525212446,4.95542400084061,0.0390702694644138,0.843309516291949,0.915698314281167,"RNF181"
0.0664648122837842,4.42439710901223,0.0390643096768244,0.843321312728951,0.915698314281167,"TP53I3"
0.069091781644898,1.39184694614985,0.0390258376711881,0.843397484359744,0.915730901139981,"AL159169.2"
-0.0672782180038543,2.60471340376391,0.0389056994763031,0.843635600244338,0.915939308102407,"AL445305.1"
-0.0662946003160553,4.39808164109159,0.0388520301144539,0.843742097225633,0.916004800785975,"CINP"
0.0659228059614083,7.31550209717326,0.0388001459273493,0.843845124524129,0.916066519662344,"TRA2B"
0.0671299494444794,2.61081310885023,0.0387539591401946,0.843936898619226,0.916116016131777,"ROBO3"
-0.0657401173630772,5.86681111118089,0.038484691831731,0.844473072865639,0.916647889007909,"S100PBP"
-0.0656634746578771,6.54759601230045,0.0384543884677604,0.844533535750474,0.916663362817634,"LRRFIP1"
-0.069495439478694,1.01916279761608,0.0384292253824738,0.84458376128096,0.916667723836946,"AC084337.1"
-0.0662765075233664,3.36273768713166,0.0383713590651303,0.844699327301731,0.916742997702924,"DNAJC17"
0.0696509462242411,0.877476152447965,0.0383165727809054,0.84480882554183,0.916778956040647,"CCT5P2"
-0.0657208311544488,4.88745167460691,0.0383085403441079,0.844824886348375,0.916778956040647,"UTP18"
0.0656396061530694,5.26978689052688,0.0382830084867036,0.844875948749434,0.916780435383061,"LRFN4"
-0.0657493132558547,4.46866563541754,0.0382358385888257,0.844970332641822,0.916780435383061,"UIMC1"
-0.0658622320936558,4.02241827680041,0.0382133667368161,0.845015318610848,0.916780435383061,"ZNF517"
-0.0814065738737936,-0.978146469751908,0.0382129886872207,0.845016075538516,0.916780435383061,"U47924.2"
-0.0654896177109568,5.87023508054112,0.0381923937941303,0.84505731633303,0.916780435383061,"TRIM23"
-0.0654196227426088,4.55253442531305,0.0378786052112825,0.845687104193943,0.917400506683974,"EXOSC9"
-0.0789436925457368,-0.787737088439899,0.0378419419241531,0.845760865458069,0.917400506683974,"AC008267.3"
-0.0651574284757256,6.09916058971993,0.0378297582100311,0.845785385548588,0.917400506683974,"OTUD6B-AS1"
-0.065297701908412,4.79601431993326,0.0377967850489535,0.845851765584916,0.917400506683974,"USP27X"
0.0680314265706154,1.4032350604062,0.0377926460243172,0.845860100199444,0.917400506683974,"LY6G5C"
0.0657581841420926,3.25035904055354,0.0377023129271429,0.846042119024427,0.917509774956549,"MMACHC"
-0.0650488794393298,6.03071690878737,0.0376967439439189,0.846053347781034,0.917509774956549,"PSMD7"
-0.0653022991961711,4.29125182791942,0.0376693253259122,0.846108644572488,0.917519585166121,"TTC27"
-0.0656869276558484,3.18573795143332,0.0375753828767809,0.846298262526917,0.917675044110904,"DICER1-AS1"
-0.0650764910070206,4.63003291122677,0.0374974288772301,0.846455795423275,0.91779569685215,"GTDC1"
0.0647640378320049,5.14632845625466,0.0372489611746536,0.846959046862408,0.918291171867326,"PEPD"
0.0659944069215661,2.46145925436327,0.0372031368031287,0.847052050427837,0.918341817487564,"FTLP2"
-0.0643896543587976,8.64429273035467,0.0370497641123491,0.847363763287271,0.918569122716905,"DDX3X"
0.0643978318862207,7.60846868697865,0.0370360182550719,0.847391732851403,0.918569122716905,"WDR26"
-0.0773696150532845,-0.707021999637341,0.0370228190943265,0.847418595083819,0.918569122716905,"HNRNPH1P3"
0.0647273446254204,4.2936144108484,0.0370007726105364,0.847463473995405,0.918569122716905,"APRT"
0.064344836296054,8.00921980041828,0.0369861599944441,0.847493227799552,0.918569122716905,"RAD23B"
-0.0653578937899856,2.83421186481594,0.0369161775940041,0.847635808589436,0.91866548916556,"AC093157.1"
0.0654318738520877,2.69723990682594,0.036897073880331,0.847674754469985,0.91866548916556,"COQ6"
0.064335415768431,5.56556216790242,0.0368239036869475,0.84782402003359,0.918729395038987,"LPAR1"
0.0763516970770394,-0.640050133720643,0.0368227645097905,0.847826345144608,0.918729395038987,"AC027348.1"
0.064260213803914,5.65491412933505,0.0367496666050329,0.847975619247069,0.918840962127122,"BNIP3P1"
-0.0781569363157869,-0.846746475981345,0.0366224306267817,0.848235816929196,0.919072703929291,"NOL8P1"
0.0639719560953147,6.64956490333,0.036505402849123,0.848475552819945,0.919282251056366,"TNFAIP1"
-0.0641900840599248,4.52668366714896,0.0364644776285614,0.848559483682866,0.919322977297837,"NHP2"
-0.0641017185677863,4.6589914385539,0.0363898810688443,0.848712594575903,0.919431921308561,"PLCD3"
0.0641945980820336,4.1065310350219,0.0363703370650228,0.848752735907031,0.919431921308561,"FKBP2"
