"logFC","logCPM","LR","PValue","FDR","transcript"
10.3060754890323,9.49420592481659,2086.15815761167,0,0,"MEG3"
8.50077983755584,6.57200362351022,1375.12361521266,5.34755094187939e-301,5.48605251127407e-297,"EMC10"
7.6439475346137,6.73858199878272,1304.80209069458,1.02249583922189e-285,6.99318987638491e-282,"CHL1"
7.84261470467326,4.88955900356834,988.300443661619,6.27108466750059e-217,3.21675288019443e-213,"SYT3"
8.56738605466892,4.37457604989208,909.623245244359,7.94063323145862e-200,3.25851825286136e-196,"HAND2"
9.14767240562855,4.19768708846891,885.312079251377,1.53047873015106e-194,5.2337270975399e-191,"KCNC3"
6.97626572404101,4.57760967029123,867.411368399945,1.19218278004806e-190,3.49445804014657e-187,"COL22A1"
5.3797069629567,5.99041984418879,852.590739467284,1.98762807558078e-187,5.09776910684581e-184,"PRG4"
-12.2883780910798,3.70937192996083,839.112948275262,1.6922021971033e-184,3.85784496446283e-181,"TYW3"
-10.423681894104,3.66606401197855,815.626758287538,2.16054479728957e-179,4.43300581507875e-176,"SLITRK4"
9.64402401637342,3.8096561245436,803.05533067994,1.16890390320952e-176,2.18032457145936e-173,"GLT1D1"
-4.66899862392119,7.52971227349331,774.899587058138,1.546861201821e-170,2.64487484491361e-167,"ALDH1A2"
5.18687540961391,5.12123671119062,739.366821863586,8.23112599338211e-163,1.29912494717088e-159,"POU3F1"
8.82346617536468,3.5051723642397,718.895139613374,2.32760434893615e-158,3.41127043081943e-155,"TMEM132D"
6.29727232094367,4.01204980421028,714.429437508212,2.17757641511968e-157,2.97863419236171e-154,"HGF"
-5.15105526997805,4.70922855454416,705.879518283493,1.57460578474114e-155,2.01923509320742e-152,"SLC12A1"
6.49831029549621,3.78566293721687,688.792847829308,8.1808986155738e-152,9.87386339966725e-149,"PCDHGA3"
9.1092753434729,3.28245406611692,674.292195113884,1.16462075890759e-148,1.3275382628481e-145,"MYH14"
8.54916726983425,3.23394776290151,654.573227357601,2.26219302315352e-144,2.44293033942442e-141,"TMEM132C"
8.18193140590996,3.24551760790652,648.968797202128,3.74436113519386e-143,3.84134008859538e-140,"FAM135B"
5.53936176929375,3.99390749444387,644.388709119398,3.71077349730106e-142,3.62560241036301e-139,"PCP4L1"
-8.49692262375192,3.02664935577617,642.124010022641,1.15345260548402e-141,1.07575184360551e-138,"HOXB8"
8.14720969362081,3.21093527767227,640.857036311884,2.17544019837975e-141,1.94068182566764e-138,"SLC15A4"
11.5554615263977,2.99979088679178,630.878730110945,3.21888759172068e-139,2.75188065028853e-136,"NLRP2"
-4.03351862808441,7.9161132003223,624.99685108757,6.12304164006773e-138,5.02530273483638e-135,"AMY2B"
6.67479789019533,3.36245316556146,619.961937912067,7.62141341234781e-137,6.01446770748278e-134,"HAND2-AS1"
-11.3521352366799,2.7762552610879,614.962531146302,9.31956071287461e-136,7.08217580395412e-133,"SLITRK2"
-4.80802115985579,4.06660594195479,586.398822039203,1.52131704851841e-129,1.11479940005359e-126,"CRYZ"
3.9534585595175,6.61401972718849,580.719919009067,2.61507325312167e-128,1.85020941405346e-125,"RGS5"
-6.9144397564432,2.92198157010095,576.149652303778,2.57996902526055e-127,1.7645268153432e-124,"HOXB9"
-3.9923616372032,5.52875362958489,556.876407227438,4.01891541837061e-123,2.66000343722994e-120,"AMY2A"
4.39298930486393,4.35492478423586,542.470393582509,5.47023327125246e-120,3.50744519561119e-117,"TBX20"
7.40015240867564,2.77463684322338,534.328001513975,3.23128886774753e-118,2.00907833298314e-115,"BX322639.1"
3.90140514847175,5.11308610634792,512.208517973338,2.09752142885269e-113,1.26579249050587e-110,"A2M"
4.25956105208841,4.07361768409622,496.128997602727,6.61041571188923e-110,3.8752145593298e-107,"TAC3"
3.74306209684059,5.3535673833482,492.970224567931,3.21757759745453e-109,1.83384047623811e-106,"PHOX2A"
-8.9824650723277,2.23231779477369,485.907837522299,1.10720390194722e-107,6.13989450274405e-105,"HOXB7"
3.88005271525694,4.68252976106738,482.247845225079,6.92819219222597e-107,3.7408591421077e-104,"GPR22"
4.58883440469847,3.51780985936535,479.766982900218,2.40130705113303e-106,1.26333379679865e-103,"GPR149"
3.53673235769161,5.96063171988927,472.014408240571,1.16794053225029e-104,5.99095096017787e-102,"MAB21L1"
-3.56186313560932,5.52405225220631,468.453444735617,6.95523197257915e-104,3.48066950276534e-101,"AMY1C"
-7.3423661333693,2.25342462081407,465.058349864544,3.81171044225057e-103,1.86211130604993e-100,"HOXB6"
