Sample_ID	Mutant.309.R1.drna.DVBt.DVB.S7.R1.001	Mutant.309.R2.drna.DVBt.DVB.S8.R1.001	Mutant.309.R3.drna.DVBt.DVB.S9.R1.001	WT.39.R1.drna.DVBt.DVB.S13.R1.001	WT.39.R2.drna.DVBt.DVB.S14.R1.001	WT.39.R3.drna.DVBt.DVB.S15.R1.001	GBA.KTI6.1.dRNA.DVBt.DVB.S10.R1.001.bam	GBA.KTI6.2.dRNA.DVBt.DVB.S11.R1.001.bam	GBA.KTI6.3.dRNA.DVBt.DVB.S12.R1.001.bam	WT.56.1.dRNA.DVBt.DVB.S13.R1.001.bam	WT.56.2.dRNA.DVBt.DVB.S14.R1.001.bam	WT.56.3.dRNA.DVBt.DVB.S15.R1.001.bam
PWWP2B	618.0	632.0	859.0	501.0	831.0	954.0	363.0	383.0	390.0	517.0	549.0	595.0
PXDC1	1059.0	928.0	872.0	283.0	205.0	90.0	675.0	631.0	495.0	346.0	354.0	373.0
PXDN	14111.0	11237.0	9615.0	4723.0	3692.0	3268.0	6619.0	6405.0	5263.0	7277.0	5951.0	5176.0
PXDNL	22.0	24.0	25.0	33.0	51.0	29.0	12.0	19.0	19.0	25.0	22.0	24.0
PXK	907.0	777.0	1066.0	1463.0	1647.0	1347.0	727.0	712.0	683.0	1207.0	1030.0	1116.0
PXMP2	110.0	133.0	152.0	109.0	128.0	100.0	54.0	65.0	68.0	70.0	69.0	122.0
PXMP4	175.0	197.0	264.0	291.0	309.0	220.0	358.0	313.0	274.0	273.0	305.0	394.0
PXN	733.0	746.0	880.0	888.0	1063.0	940.0	453.0	490.0	428.0	698.0	694.0	609.0
PXN-AS1	50.0	75.0	67.0	37.0	23.0	33.0	47.0	45.0	39.0	50.0	26.0	28.0
PXT1	5.0	1.0	1.0	4.0	2.0	5.0	1.0	0.0	1.0	6.0	2.0	1.0
PXYLP1	4125.0	4792.0	6031.0	2606.0	1785.0	1630.0	3245.0	3457.0	2876.0	2942.0	1744.0	1696.0
